START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/03/17,01:07 PM,01:07 PM,Yankees at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"Local TV: MLBN",03/03/17,03/03/17,04:07 PM,04:07 PM,FALSE,TRUE,03/03/17,12:07 PM,12:07 PM,FREE,BUSY
03/04/17,01:05 PM,01:05 PM,Yankees at Tigers,Joker Marchant Stadium - Lakeland,"Local Radio: WFAN 660/101.9 FM",03/04/17,03/04/17,04:05 PM,04:05 PM,FALSE,TRUE,03/04/17,12:05 PM,12:05 PM,FREE,BUSY
03/05/17,01:05 PM,01:05 PM,Pirates at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM",03/05/17,03/05/17,04:05 PM,04:05 PM,FALSE,TRUE,03/05/17,12:05 PM,12:05 PM,FREE,BUSY
03/06/17,01:05 PM,01:05 PM,Yankees at Pirates,LECOM Park - Bradenton,"Local TV: MLBN",03/06/17,03/06/17,04:05 PM,04:05 PM,FALSE,TRUE,03/06/17,12:05 PM,12:05 PM,FREE,BUSY
03/07/17,01:05 PM,01:05 PM,Rays at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES",03/07/17,03/07/17,04:05 PM,04:05 PM,FALSE,TRUE,03/07/17,12:05 PM,12:05 PM,FREE,BUSY
03/08/17,01:05 PM,01:05 PM,Canada at Yankees,George M. Steinbrenner Field - Tampa,"",03/08/17,03/08/17,04:05 PM,04:05 PM,FALSE,TRUE,03/08/17,12:05 PM,12:05 PM,FREE,BUSY
03/09/17,01:05 PM,01:05 PM,Yankees at Braves,Champion Stadium - Lake Buena Vista,"",03/09/17,03/09/17,04:05 PM,04:05 PM,FALSE,TRUE,03/09/17,12:05 PM,12:05 PM,FREE,BUSY
03/10/17,01:05 PM,01:05 PM,Yankees at Phillies,Spectrum Field - Clearwater,"Local TV: MLBN",03/10/17,03/10/17,04:05 PM,04:05 PM,FALSE,TRUE,03/10/17,12:05 PM,12:05 PM,FREE,BUSY
03/11/17,01:05 PM,01:05 PM,Tigers at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM",03/11/17,03/11/17,04:05 PM,04:05 PM,FALSE,TRUE,03/11/17,12:05 PM,12:05 PM,FREE,BUSY
03/12/17,01:05 PM,01:05 PM,Braves at Yankees,George M. Steinbrenner Field - Tampa,"Local Radio: WFAN 660/101.9 FM",03/12/17,03/12/17,04:05 PM,04:05 PM,FALSE,TRUE,03/12/17,12:05 PM,12:05 PM,FREE,BUSY
03/14/17,01:05 PM,01:05 PM,Yankees at Rays,Charlotte Sports Park - Port Charlotte,"",03/14/17,03/14/17,04:05 PM,04:05 PM,FALSE,TRUE,03/14/17,12:05 PM,12:05 PM,FREE,BUSY
03/15/17,06:35 PM,06:35 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM",03/15/17,03/15/17,09:35 PM,09:35 PM,FALSE,TRUE,03/15/17,05:35 PM,05:35 PM,FREE,BUSY
03/16/17,01:07 PM,01:07 PM,Yankees at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"",03/16/17,03/16/17,04:07 PM,04:07 PM,FALSE,TRUE,03/16/17,12:07 PM,12:07 PM,FREE,BUSY
03/17/17,01:05 PM,01:05 PM,Yankees at Tigers,Joker Marchant Stadium - Lakeland,"Local TV: MLBN",03/17/17,03/17/17,04:05 PM,04:05 PM,FALSE,TRUE,03/17/17,12:05 PM,12:05 PM,FREE,BUSY
03/18/17,01:05 PM,01:05 PM,Orioles at Yankees,George M. Steinbrenner Field - Tampa,"Local Radio: WFAN 660/101.9 FM",03/18/17,03/18/17,04:05 PM,04:05 PM,FALSE,TRUE,03/18/17,12:05 PM,12:05 PM,FREE,BUSY
03/19/17,01:05 PM,01:05 PM,Yankees at Astros,The Ballpark of the Palm Beaches - West Palm Beach,"",03/19/17,03/19/17,04:05 PM,04:05 PM,FALSE,TRUE,03/19/17,12:05 PM,12:05 PM,FREE,BUSY
03/20/17,01:05 PM,01:05 PM,Yankees at Nationals,The Ballpark of the Palm Beaches - West Palm Beach,"Local TV: MLBN",03/20/17,03/20/17,04:05 PM,04:05 PM,FALSE,TRUE,03/20/17,12:05 PM,12:05 PM,FREE,BUSY
03/21/17,06:35 PM,06:35 PM,Red Sox at Yankees,George M. Steinbrenner Field - Tampa,"",03/21/17,03/21/17,09:35 PM,09:35 PM,FALSE,TRUE,03/21/17,05:35 PM,05:35 PM,FREE,BUSY
03/22/17,01:05 PM,01:05 PM,Yankees at Phillies,Spectrum Field - Clearwater,"Local TV: MLBN",03/22/17,03/22/17,04:05 PM,04:05 PM,FALSE,TRUE,03/22/17,12:05 PM,12:05 PM,FREE,BUSY
